fold,train_rows,val_rows,acc,precision,recall,f1,auc
01,457,115,0.6608695652173913,0.6785714285714286,0.6440677966101694,0.6608695652173913,0.773910411622276
02,457,115,0.6956521739130435,0.6764705882352942,0.7796610169491526,0.7244094488188977,0.7829903147699758
03,458,114,0.6929824561403509,0.7142857142857143,0.6779661016949152,0.6956521739130435,0.7793528505392912
04,458,114,0.7807017543859649,0.8035714285714286,0.7627118644067796,0.782608695652174,0.8249614791987674
05,458,114,0.7105263157894737,0.703125,0.7627118644067796,0.7317073170731707,0.7473035439137135
