fold,train_rows,val_rows,acc,precision,recall,f1,auc
01,457,115,0.6782608695652174,0.6833333333333333,0.6949152542372882,0.6890756302521008,0.6778147699757869
02,457,115,0.6869565217391305,0.7090909090909091,0.6610169491525424,0.6842105263157895,0.6876513317191283
03,458,114,0.6228070175438597,0.6428571428571429,0.6101694915254238,0.6260869565217392,0.6232665639445302
04,458,114,0.6228070175438597,0.6290322580645161,0.6610169491525424,0.6446280991735537,0.6214175654853621
05,458,114,0.6491228070175439,0.6376811594202898,0.7457627118644068,0.6875,0.6456086286594761
