fold,acc,precision,recall,f1,auc
01,0.7217391304347827,0.7288135593220338,0.7288135593220338,0.7288135593220338,0.7957021791767553
02,0.7478260869565218,0.7419354838709677,0.7796610169491526,0.7603305785123967,0.8280871670702179
03,0.7192982456140351,0.7213114754098361,0.7457627118644068,0.7333333333333333,0.7824345146379045
04,0.7982456140350878,0.8214285714285714,0.7796610169491526,0.8,0.8693374422187982
05,0.7017543859649122,0.7049180327868853,0.7288135593220338,0.7166666666666667,0.7759630200308167
