orig_index,true_label,prob_pos,pred_label
423,1,0.5262471863094329,1
179,1,0.5907277012505157,1
261,0,0.623968685397187,1
706,1,0.668108121669916,1
28,0,0.4107601951076393,0
130,1,0.7852766325992997,1
20,0,0.43553319242466715,0
171,0,0.44582542188923846,0
273,1,0.3433246083640576,0
191,1,0.41177741148948904,0
490,0,0.24658104073193832,0
452,0,0.734000010065603,1
336,0,0.5113033554765225,1
700,1,0.7281513362377174,1
561,0,0.5943919665554604,1
8,1,0.7391859639941168,1
110,1,0.8242212145736802,1
51,1,0.5957747817410012,1
31,0,0.5424283077694866,1
446,0,0.175185714222241,0
676,1,0.14140401247649995,0
159,1,0.42781059967184654,0
504,0,0.5193692579456449,1
516,1,0.5440448223629205,1
518,1,0.8207884551162945,1
357,0,0.19639003016217849,0
337,1,0.7442745531393935,1
462,0,0.2837478639982896,0
362,0,0.6693643727783826,1
629,0,0.28433777395222753,0
371,1,0.6598780835473118,1
512,1,0.8683948648043596,1
328,0,0.27919707860121534,0
618,1,0.6958065450210854,1
603,0,0.37229125606667296,0
313,1,0.7096113162975165,1
89,0,0.4860306728174355,0
309,1,0.6393566927275116,1
137,1,0.7147927230247233,1
480,0,0.7169797479011072,1
460,0,0.3061263546061775,0
456,0,0.6520641440085022,1
23,1,0.5224031738840145,1
538,1,0.5251634897221154,1
443,1,0.6670812234788738,1
376,0,0.5778967577257389,1
278,0,0.05238797081523022,0
555,1,0.7758529494923354,1
177,1,0.44367745947825965,0
496,1,0.703558524644971,1
707,0,0.4166967057733143,0
129,0,0.42318646995192455,0
355,0,0.3618976432755705,0
206,1,0.45823742898293846,0
626,1,0.6594148621510483,1
321,1,0.8717414630338601,1
678,0,0.3917478571319923,0
71,1,0.757718049842685,1
327,1,0.8253904980280176,1
291,1,0.5448174600005619,1
668,0,0.11841442954837227,0
233,0,0.12958508019354023,0
329,0,0.32922521530108995,0
657,1,0.7609409962543974,1
211,1,0.45674917782000796,0
93,1,0.8315394778341962,1
281,1,0.8184055377157852,1
438,1,0.36172798606405787,0
386,0,0.32284794014444346,0
540,0,0.5022675117619125,1
544,1,0.7751540924065969,1
76,0,0.36115901682510027,0
282,1,0.39722534068074483,0
289,0,0.22033131594866437,0
320,1,0.5623837236753653,1
548,0,0.8432986047034932,1
363,1,0.683718626631009,1
306,1,0.7670633700840855,1
585,0,0.4714399769580433,0
654,0,0.36477760071709603,0
194,0,0.345511018518832,0
583,0,0.34584111606379464,0
439,0,0.37949891878115677,0
68,0,0.0880438456062577,0
466,1,0.7377511211391878,1
348,1,0.7825424010119016,1
139,1,0.4841671430449749,0
587,0,0.4345425705403027,0
616,0,0.4005109050095029,0
503,1,0.6061153930317625,1
287,0,0.37279539107331955,0
74,0,0.44165523505671817,0
45,0,0.3762790983498045,0
77,0,0.4516518798627442,0
85,0,0.713525751628747,1
182,1,0.5070717423303985,1
210,1,0.7488594368963218,1
375,1,0.7420184283785928,1
176,0,0.5246797327916579,1
677,1,0.8624871227369488,1
476,0,0.6256868482977209,1
101,0,0.5881654981853258,1
331,1,0.6204861648518483,1
698,1,0.6720037870949835,1
3,1,0.5729522496736397,1
433,0,0.23425563759702506,0
513,0,0.16084981914208552,0
254,0,0.3842330499064128,0
120,0,0.3672904292159542,0
44,1,0.49160424896972393,0
434,1,0.6295465499550835,1
505,0,0.357619907046697,0
411,1,0.2528163636000006,0
156,1,0.8016047651520704,1
714,1,0.40185573989391427,0
