mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
3.069767141342163,0.1759313720132031,0.4566375732421875,0.1400469960188303,True,balanced,10,,3,9,288,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 288}",0.9873417721518988,0.9957805907172996,0.9936034115138592,0.9915966386554622,0.957983193277311,0.9852611212631661,0.013919815287378115,28,0.9968253968253968,0.9989417989417989,0.9994700582935877,1.0,0.9957627118644068,0.998199993185038,0.0016268510123834442
1.1181651592254638,0.5025437183528216,1.1134316444396972,0.24863789849073017,True,balanced,6,0.2,3,4,187,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 6, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 187}",0.9042769857433809,0.9316770186335404,0.9344608879492601,0.9491525423728814,0.8884297520661157,0.9215994373530357,0.022029269184160833,46,0.9537662337662338,0.9524307370622059,0.9599583983359334,0.960167714884696,0.9532224532224532,0.9559091074543046,0.0034188177219444354
3.4843192100524902,0.0999167576708495,0.29979829788208007,0.062221246324117865,True,balanced,10,0.2,5,3,443,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 0.2, 'min_samples_leaf': 5, 'min_samples_split': 3, 'n_estimators': 443}",0.9874476987447699,0.9957805907172996,0.9827586206896551,1.0,0.9519832985386222,0.9835940417380694,0.016926045780336352,30,0.996832101372756,0.9989417989417989,0.9978768577494692,1.0,0.9952355743779777,0.9977772664884004,0.001652884412044804
2.7708471775054933,0.18734529945284553,0.4670085906982422,0.26669886326253817,False,balanced,16,log2,4,6,260,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': 16, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 260}",1.0,1.0,1.0,1.0,0.9915966386554622,0.9983193277310924,0.003361344537815114,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.1655230045318603,0.17392269751347844,0.4739682197570801,0.11153066291641472,False,balanced,6,,4,2,148,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': 6, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 148}",0.8651911468812877,0.84472049689441,0.8073770491803278,0.8693790149892934,0.814968814968815,0.8403273045828268,0.025338843685789387,50,0.9012787723785166,0.8870026525198939,0.853125,0.8662759722962173,0.9088066701406983,0.8832978134670653,0.020918337572295286
3.0492387294769285,0.18607721391738158,0.40671601295471194,0.11130336293917521,True,balanced,8,log2,4,5,563,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 563}",0.9649484536082474,0.9831932773109243,0.9806451612903225,0.9874476987447699,0.9338842975206612,0.9700237776949852,0.019604404995910655,36,0.9900157645822386,0.991578947368421,0.9920844327176781,0.9926393270241851,0.9873684210526316,0.9907373785490309,0.001897935844163121
2.2793843269348146,0.03778262247481037,0.38348965644836425,0.06302575006093872,True,balanced,16,0.2,4,8,343,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 16, 'max_features': 0.2, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 343}",1.0,1.0,0.9936034115138592,1.0,0.9725158562367865,0.9932238535501291,0.010646254732134956,18,1.0,1.0,0.9994700582935877,1.0,0.9984101748807631,0.9995760466348702,0.0006180129194324655
1.7063557147979735,0.14681612587822557,0.376069974899292,0.23417731038356485,False,balanced,,0.2,5,4,234,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': None, 'max_features': 0.2, 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 234}",1.0,1.0,0.9936034115138592,1.0,0.9936842105263158,0.997457524408035,0.0031139887687093495,12,1.0,1.0,0.9994700582935877,1.0,0.9994706193753309,0.9997881355337837,0.0002594799790907535
2.3428369998931884,0.23110760296510197,0.6244254589080811,0.2320933325417473,True,balanced,,log2,4,2,415,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 415}",1.0,1.0,0.9871244635193133,1.0,0.9663865546218487,0.9907022036282325,0.013140761492403544,21,1.0,1.0,0.9989395546129375,1.0,0.9978813559322034,0.9993641821090282,0.0008475700741003801
0.7542540550231933,0.041857452826511286,0.21056752204895018,0.07750371490493436,False,balanced,6,log2,1,3,152,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 152}",0.9325153374233128,0.9426229508196722,0.9316239316239316,0.9603340292275574,0.8934426229508197,0.9321077744090587,0.02192115209000209,40,0.9626904887020494,0.9625779625779626,0.9602510460251046,0.9639309984317825,0.9605809128630706,0.9620062817199939,0.0013865079402008713
