fold,acc,precision,recall,f1,auc
01,0.7043478260869566,0.7192982456140351,0.6949152542372882,0.7068965517241379,0.8038740920096853
02,0.7391304347826086,0.7101449275362319,0.8305084745762712,0.765625,0.8211259079903148
03,0.7192982456140351,0.7288135593220338,0.7288135593220338,0.7288135593220338,0.786748844375963
04,0.7894736842105263,0.7868852459016393,0.8135593220338984,0.8,0.8751926040061634
05,0.6754385964912281,0.6833333333333333,0.6949152542372882,0.6890756302521008,0.7642526964560863
