orig_index,true_label,prob_pos,pred_label
279,0,0.0004119570480252543,0
57,0,0.0058826059851248185,0
637,0,0.04369467764975939,0
7,1,0.5477421563345038,1
340,1,0.9575614583174269,1
403,0,0.0009737465726233085,0
364,1,0.9541261984809171,1
86,0,0.13971208976545388,0
300,0,0.6211743804922497,1
598,0,0.5867012727414841,1
330,0,0.9372758209437754,1
332,1,0.0007243104136104563,0
11,1,0.1843279529617345,0
79,0,0.01487990477463429,0
491,1,0.9985970545266949,1
573,1,0.9944598678364179,1
596,1,0.9827936471213948,1
390,1,0.955331766547882,1
664,0,0.1285900057628559,0
659,0,0.34178985083988356,0
188,1,0.9998935009797654,1
552,1,3.7877455863242354e-17,0
82,1,0.9999635456619708,1
253,1,0.6347431873521846,1
662,0,0.5391938559788401,1
675,1,0.9223589320212897,1
407,0,0.9965271841651467,1
489,0,0.10677081147329441,0
558,1,0.0016201972666515226,0
565,1,0.8715765800171915,1
133,1,0.9993770243093504,1
611,1,0.9861477426806888,1
248,0,0.5666826378902389,1
47,0,0.9749924341622512,1
523,0,0.7913464174865166,1
472,0,0.0004245974211858298,0
421,1,0.9481214754404457,1
576,0,7.125891532963201e-05,0
702,0,0.03500645111800632,0
506,1,0.9466973954480805,1
226,0,0.7241191880629805,1
711,1,0.06434763682609523,0
124,0,0.00011072835155841316,0
219,0,0.5266072019110343,1
642,0,5.970431208879845e-17,0
259,0,0.025280011641990046,0
241,0,0.9858302409592677,1
399,1,0.9793795695030858,1
481,0,0.31490024067562455,0
151,1,0.03300994869451673,0
612,1,0.99346603796876,1
135,1,0.9876282195135614,1
614,0,0.3729010137690456,0
164,1,0.9938104527083205,1
249,1,0.20584718612000105,0
239,1,0.012980910907192299,0
295,1,0.9892125556157458,1
467,1,0.22656710274003405,0
641,1,0.9998602623490109,1
302,0,0.0002650201413922601,0
672,0,0.9804894491619385,1
235,1,0.9999951500179608,1
128,1,0.8196424879814433,1
127,0,0.9935247272095515,1
100,1,0.7790078348892232,1
648,1,0.9851739412999573,1
290,0,0.47987155001707743,0
430,0,0.5820046982646433,1
405,0,0.01312541241580857,0
208,0,0.19974492074513547,0
209,1,0.9857291025032249,1
158,0,0.3393065142680203,0
325,1,0.9998045496179435,1
681,1,0.9991581086661036,1
213,1,0.9917305167258701,1
569,1,0.9776917059277289,1
551,0,0.10498607229039567,0
449,1,0.9992571040626561,1
203,0,0.7910813761397069,1
198,0,0.8784151793378356,1
431,0,0.7245390232695536,1
478,1,0.9999975323155007,1
345,0,0.004866223121392456,0
385,1,0.9951727786132614,1
646,1,0.07109428370415682,0
669,1,0.998578728620416,1
486,1,0.9291561840557362,1
586,0,0.2421169749727801,0
402,1,0.9643869313504112,1
141,1,0.13305605672194268,0
582,0,0.002186164612793532,0
255,0,0.07563405491971979,0
14,1,0.18890018323366334,0
680,1,0.9262227700105885,1
665,1,0.9999641512590948,1
413,0,0.06170984208332198,0
525,0,0.4044467174271797,0
59,0,0.4710013985625968,0
498,1,0.9808731928198008,1
695,1,0.9626511847358499,1
627,0,0.009860015760603223,0
351,0,0.13604226125957214,0
624,0,0.27360661748390236,0
597,0,0.9935624817504936,1
580,1,0.9750447495710929,1
541,1,0.5848067264226293,1
406,0,0.4488713588335247,0
46,1,0.9999583461237539,1
663,1,0.47005759688910276,0
317,0,0.753557007648443,1
34,0,0.07258640648362437,0
391,0,0.016116482038913058,0
121,1,0.9999992133732402,1
673,1,0.9921866481281746,1
