fold,train_rows,val_rows,acc,precision,recall,f1,auc,pipeline_path,oof_csv
01,457,115,0.7391304347826086,0.6933333333333334,0.8813559322033898,0.7761194029850746,0.8105326876513317,Machine learning\models\gaussiannb\fold_01_pipeline.joblib,Machine learning\models\gaussiannb\fold_01_oof.csv
02,457,115,0.6695652173913044,0.6206896551724138,0.9152542372881356,0.7397260273972602,0.7778450363196125,Machine learning\models\gaussiannb\fold_02_pipeline.joblib,Machine learning\models\gaussiannb\fold_02_oof.csv
03,458,114,0.6140350877192983,0.6,0.7627118644067796,0.6716417910447762,0.749768875192604,Machine learning\models\gaussiannb\fold_03_pipeline.joblib,Machine learning\models\gaussiannb\fold_03_oof.csv
04,458,114,0.7192982456140351,0.7076923076923077,0.7796610169491526,0.7419354838709677,0.7944530046224961,Machine learning\models\gaussiannb\fold_04_pipeline.joblib,Machine learning\models\gaussiannb\fold_04_oof.csv
05,458,114,0.6140350877192983,0.6,0.7627118644067796,0.6716417910447762,0.6878274268104776,Machine learning\models\gaussiannb\fold_05_pipeline.joblib,Machine learning\models\gaussiannb\fold_05_oof.csv
