mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.6746975898742675,0.042054552991901195,0.46724162101745603,0.03392360464899193,True,balanced,10,sqrt,3,9,288,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 288}",0.6846846846846847,0.7863247863247863,0.7068965517241379,0.8135593220338984,0.7288135593220338,0.7440557808179082,0.04848808461289516,27,0.9576271186440678,0.9643605870020965,0.9685534591194969,0.9722814498933902,0.9661016949152542,0.9657848619148611,0.004869260791818967
0.4579601764678955,0.017958597180945623,0.3466957092285156,0.019651544167350814,True,balanced,6,0.2,3,4,187,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 6, 'max_features': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 187}",0.6788990825688074,0.7627118644067796,0.6890756302521008,0.8135593220338984,0.7586206896551724,0.7405733177833517,0.050196619019419186,34,0.9369747899159664,0.9285714285714286,0.9402061855670103,0.9330543933054394,0.9322033898305084,0.9342020374380706,0.0040187905290376014
1.323098850250244,0.07624813630609666,0.11397352218627929,0.01194171312793512,True,balanced,10,0.5,3,7,408,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 408}",0.7407407407407407,0.8135593220338984,0.7068965517241379,0.8103448275862069,0.7350427350427351,0.7613168354255438,0.042914549336735525,2,0.9768421052631578,0.9767441860465116,0.9788135593220338,0.985200845665962,0.9787234042553191,0.9792648201105969,0.0030969762717404582
1.0937788009643554,0.06607373310904979,0.20214123725891114,0.04876040788372852,False,balanced,10,log2,2,9,376,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 9, 'n_estimators': 376}",0.6964285714285714,0.7692307692307693,0.717948717948718,0.8333333333333334,0.7394957983193278,0.751287438052144,0.04756784699610391,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.1276171684265137,0.030843037032552655,0.13667674064636232,0.009096942069299141,True,balanced,10,log2,5,5,444,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 444}",0.6727272727272727,0.7692307692307693,0.7008547008547008,0.8166666666666667,0.7394957983193278,0.7397950415597474,0.05057713733893923,36,0.9319148936170213,0.9478079331941545,0.9473684210526315,0.9497907949790795,0.948936170212766,0.9451636426111305,0.006678700084803991
0.7178071975708008,0.014558168321146227,0.1328742027282715,0.021590843991677173,True,balanced,8,0.2,2,9,287,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 8, 'max_features': 0.2, 'min_samples_leaf': 2, 'min_samples_split': 9, 'n_estimators': 287}",0.7090909090909091,0.7863247863247863,0.7,0.8205128205128205,0.7521367521367521,0.7536130536130535,0.04561665617921332,13,0.9561586638830898,0.95,0.9666666666666667,0.9745762711864406,0.9703389830508474,0.963548116957409,0.009117202313392319
0.42283167839050295,0.11711224638775043,0.12834768295288085,0.030375852010007937,False,balanced,16,log2,3,5,154,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': 16, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 154}",0.7207207207207207,0.7586206896551724,0.6949152542372882,0.8235294117647058,0.717948717948718,0.743146958865321,0.04508871236266105,30,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.7665053844451905,0.07002475073287653,0.12194285392761231,0.03220903052444552,False,balanced,,0.2,5,4,234,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': None, 'max_features': 0.2, 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 234}",0.7272727272727273,0.7796610169491526,0.717948717948718,0.8205128205128205,0.7350427350427351,0.7560876035452306,0.03855923386236848,7,1.0,0.9936305732484076,0.9978768577494692,1.0,0.9957627118644068,0.9974540285724567,0.0024747560831158556
0.5749098300933838,0.028447591604666245,0.08710741996765137,0.009312206102172437,True,balanced,,0.2,2,5,188,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'max_features': 0.2, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 188}",0.6788990825688074,0.7796610169491526,0.7058823529411765,0.8,0.7226890756302521,0.7374263056178778,0.04546840838621279,39,1.0,0.9978768577494692,0.9978858350951374,0.9978858350951374,0.9978768577494692,0.9983050771378427,0.0008474709409253921
1.1806796550750733,0.037236491231889046,0.2554326057434082,0.033492844274918665,False,balanced,16,log2,2,2,445,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': 16, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 445}",0.7321428571428571,0.7796610169491526,0.7008547008547008,0.8166666666666667,0.7288135593220338,0.7516277601870822,0.04121644235610697,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
