mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_samples,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
4.24204421043396,0.3321710570427899,0.038544654846191406,0.030510356207993295,0.6247240713084175,0.19063571821788408,5,12,288,35,0.15601864044243652,0.15599452033620265,0.6232334448672797,"{'colsample_bytree': np.float64(0.6247240713084175), 'learning_rate': np.float64(0.19063571821788408), 'max_depth': 5, 'min_child_samples': 12, 'n_estimators': 288, 'num_leaves': 35, 'reg_alpha': np.float64(0.15601864044243652), 'reg_lambda': np.float64(0.15599452033620265), 'subsample': np.float64(0.6232334448672797)}",0.6915887850467289,0.8360655737704918,0.6949152542372882,0.7719298245614035,0.7377049180327869,0.7464408711297399,0.05370704142066036,45,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5.799077272415161,0.3626626943873433,0.016091203689575194,0.008441203118445413,0.9197056874649611,0.12421185223120967,5,26,408,16,0.7219987722668247,0.9385527090157502,0.6003115063364057,"{'colsample_bytree': np.float64(0.9197056874649611), 'learning_rate': np.float64(0.12421185223120967), 'max_depth': 5, 'min_child_samples': 26, 'n_estimators': 408, 'num_leaves': 16, 'reg_alpha': np.float64(0.7219987722668247), 'reg_lambda': np.float64(0.9385527090157502), 'subsample': np.float64(0.6003115063364057)}",0.7478260869565218,0.8225806451612904,0.7304347826086957,0.7899159663865546,0.7213114754098361,0.7624137913045796,0.0382132919924035,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.703863573074341,0.4187476047452098,0.056460094451904294,0.05546819098490872,0.9953269355747305,0.12732148682926614,3,26,352,122,0.023062425041415757,0.5247746602583891,0.7599443886861021,"{'colsample_bytree': np.float64(0.9953269355747305), 'learning_rate': np.float64(0.12732148682926614), 'max_depth': 3, 'min_child_samples': 26, 'n_estimators': 352, 'num_leaves': 122, 'reg_alpha': np.float64(0.023062425041415757), 'reg_lambda': np.float64(0.5247746602583891), 'subsample': np.float64(0.7599443886861021)}",0.7142857142857143,0.8264462809917356,0.7130434782608696,0.773109243697479,0.6833333333333333,0.7420436101138262,0.05127823996436252,49,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7.097303438186645,0.08436786344502543,0.009114360809326172,0.0015220764181775564,0.42799939792816927,0.19501354857987727,15,51,545,65,0.38246199126716274,0.9832308858067882,0.786705157299192,"{'colsample_bytree': np.float64(0.42799939792816927), 'learning_rate': np.float64(0.19501354857987727), 'max_depth': 15, 'min_child_samples': 51, 'n_estimators': 545, 'num_leaves': 65, 'reg_alpha': np.float64(0.38246199126716274), 'reg_lambda': np.float64(0.9832308858067882), 'subsample': np.float64(0.786705157299192)}",0.7256637168141593,0.8225806451612904,0.717948717948718,0.773109243697479,0.7213114754098361,0.7521227598062965,0.040551269903457234,37,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.843192672729492,0.19975582104467537,0.007137680053710937,0.0020102749987257755,0.9159642440417923,0.13925843233167814,-1,43,373,18,0.9422017556848528,0.5632882178455393,0.7541666010159664,"{'colsample_bytree': np.float64(0.9159642440417923), 'learning_rate': np.float64(0.13925843233167814), 'max_depth': -1, 'min_child_samples': 43, 'n_estimators': 373, 'num_leaves': 18, 'reg_alpha': np.float64(0.9422017556848528), 'reg_lambda': np.float64(0.5632882178455393), 'subsample': np.float64(0.7541666010159664)}",0.7321428571428571,0.816,0.7350427350427351,0.7899159663865546,0.7213114754098361,0.7588826067963965,0.03720325153601032,23,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6.605289602279663,0.28058554170136635,0.004609537124633789,0.0008162585105485298,0.40957975133212854,0.05386982686820831,7,51,543,85,0.6099966577826209,0.8331949117361643,0.6693458614031088,"{'colsample_bytree': np.float64(0.40957975133212854), 'learning_rate': np.float64(0.05386982686820831), 'max_depth': 7, 'min_child_samples': 51, 'n_estimators': 543, 'num_leaves': 85, 'reg_alpha': np.float64(0.6099966577826209), 'reg_lambda': np.float64(0.8331949117361643), 'subsample': np.float64(0.6693458614031088)}",0.7027027027027027,0.8617886178861789,0.7008547008547008,0.7933884297520661,0.7288135593220338,0.7575096021035364,0.061965216589302326,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8.639897060394286,0.717886076739665,0.00799860954284668,0.0012279836310229448,0.6346363645439445,0.044624856679731845,7,6,489,68,0.5467102793432796,0.18485445552552704,0.9878338511058234,"{'colsample_bytree': np.float64(0.6346363645439445), 'learning_rate': np.float64(0.044624856679731845), 'max_depth': 7, 'min_child_samples': 6, 'n_estimators': 489, 'num_leaves': 68, 'reg_alpha': np.float64(0.5467102793432796), 'reg_lambda': np.float64(0.18485445552552704), 'subsample': np.float64(0.9878338511058234)}",0.7256637168141593,0.8225806451612904,0.7058823529411765,0.8235294117647058,0.743801652892562,0.7642915559147788,0.04945770427817934,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.828587055206299,0.07276669755537828,0.006939363479614258,0.004231468606455164,0.8650796940166687,0.18850479889719593,11,40,369,109,0.9218742350231168,0.0884925020519195,0.6783931449676581,"{'colsample_bytree': np.float64(0.8650796940166687), 'learning_rate': np.float64(0.18850479889719593), 'max_depth': 11, 'min_child_samples': 40, 'n_estimators': 369, 'num_leaves': 109, 'reg_alpha': np.float64(0.9218742350231168), 'reg_lambda': np.float64(0.0884925020519195), 'subsample': np.float64(0.6783931449676581)}",0.7102803738317757,0.816,0.7241379310344828,0.8,0.7272727272727273,0.7555382064277971,0.043510149591919414,33,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7.184586143493652,0.17795940741390012,0.006068038940429688,0.0013101173718278842,0.4271363733463229,0.07181276284502022,9,22,466,67,0.5867511656638482,0.965255307264138,0.8428136990746738,"{'colsample_bytree': np.float64(0.4271363733463229), 'learning_rate': np.float64(0.07181276284502022), 'max_depth': 9, 'min_child_samples': 22, 'n_estimators': 466, 'num_leaves': 67, 'reg_alpha': np.float64(0.5867511656638482), 'reg_lambda': np.float64(0.965255307264138), 'subsample': np.float64(0.8428136990746738)}",0.7272727272727273,0.8455284552845529,0.7192982456140351,0.8264462809917356,0.743801652892562,0.7724694724111225,0.05280696895147354,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9.292098903656006,0.5618492832861833,0.016008853912353516,0.010365717094130556,0.565599509213526,0.06629196608377566,9,5,444,85,0.4234014807063696,0.3948815181755697,0.7173952698872152,"{'colsample_bytree': np.float64(0.565599509213526), 'learning_rate': np.float64(0.06629196608377566), 'max_depth': 9, 'min_child_samples': 5, 'n_estimators': 444, 'num_leaves': 85, 'reg_alpha': np.float64(0.4234014807063696), 'reg_lambda': np.float64(0.3948815181755697), 'subsample': np.float64(0.7173952698872152)}",0.7256637168141593,0.8099173553719008,0.7166666666666667,0.8135593220338984,0.7479674796747967,0.7627549081122844,0.04128906735854484,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
